PTCAR_ID,Name_FR,Geo_Point,Classification_FR
328,Dilbeek,"50.866389789917505, 4.243574071481659",Point darrêt
418,Forrières,"50.13309074637851, 5.276553146811394",Point darrêt
968,Poix-Saint-Hubert,"50.01946343587328, 5.292645676052638",Point darrêt
190,Boortmeerbeek,"50.981903830816094, 4.57399271213074",Point darrêt
1230,Wespelaar-Tildonk,"50.958554856419234, 4.637792321359631",Point darrêt
786,Marbehan,"49.72742014792389, 5.539755333578618",Gare
1107,Stockem,"49.69093190086014, 5.76797703301106",Point darrêt
1141,Thulin,"50.42342864244457, 3.745946901542191",Point darrêt
195,Boussu,"50.43603991330167, 3.795971741039548",Gare
232,Buizingen,"50.75154826187237, 4.258657550764855",Gare
706,Lembeek,"50.71511213958234, 4.221567770291005",Gare
1242,Wijgmaal,"50.92330344560649, 4.700698414016601",Point darrêt
277,Comblain-la-Tour,"50.45662378833268, 5.567151864043248",Point darrêt
133,Beignée,"50.33322928558822, 4.406633114707752",Point darrêt
169,Blaton,"50.50595452031236, 3.665705919979845",Gare
1187,Ville-Pommeroeul,"50.464526835775644, 3.724432978569874",Point darrêt
19,Alken,"50.886400234543814, 5.2917494451345",Gare
1350,Zonhoven,"50.989700000370746, 5.348769995145101",Point darrêt
100,Aye,"50.22485292105391, 5.300638767374593",Point darrêt
257,Chapois,"50.26226836082343, 5.124119622963848",Point darrêt
920,Obourg,"50.46980722962719, 4.006727859640169",Point darrêt
637,Kijkuit,"51.37923641446443, 4.467294323528997",Point darrêt
632,Kapellen,"51.313592709537495, 4.432805301755772",Gare
337,Duinbergen,"51.33827191022156, 3.262935063525739",Point darrêt
933,Opwijk,"50.97461822218548, 4.187540293566453",Gare
699,Lebbeke,"51.004753560084644, 4.134881157376095",Point darrêt
1066,Schelle,"51.12542028360778, 4.340225752995774",Point darrêt
1160,Tubize,"50.691692204058214, 4.205811476492253",Gare
1144,Tielen,"51.24086146059442, 4.893344963201751",Gare
427,Froyennes,"50.62951414192788, 3.355483776379134",Gare
835,Milmort,"50.69342290482662, 5.599557700962555",Point darrêt
730,Liège-Saint-Lambert,"50.64694935067069, 5.572612637206988",Gare
568,Hillegem,"50.8912948429153, 3.857476893284403",Point darrêt
1231,Zolder,"51.03363911488983, 5.330784089378894",Point darrêt
871,Muizen,"51.00823699970865, 4.514109018799756",Point darrêt
941,Oud-Heverlee,"50.83570060691955, 4.653595847354818",Point darrêt
563,Herzele,"50.89692469970473, 3.879519908608075",Point darrêt
546,Hemiksem,"51.13637533102848, 4.338483199831431",Point darrêt
363,Eppegem,"50.95840721213253, 4.457499467295893",Point darrêt
742,Linkebeek,"50.77339212344109, 4.339918297092998",Point darrêt
827,Méry,"50.54825329989115, 5.587073124514547",Point darrêt
375,Esneux,"50.52961833648213, 5.572858884997966",Gare
952,Papignies,"50.687655085954, 3.824299420055708",Point darrêt
683,Landelies,"50.377441478569494, 4.350826341758125",Point darrêt
1139,Thuin,"50.34256310588739, 4.288964235133943",Point darrêt
866,Mortsel-Oude God,"51.171808098001065, 4.455388660949409",Point darrêt
128,Beersel,"50.766368102511905, 4.302343410449779",Point darrêt
923,Okegem,"50.85712457023099, 4.054122152842988",Point darrêt
973,Poperinge,"50.85444837696997, 2.736306432939593",Gare
278,Comines,"50.77196355374446, 2.999344829152202",Gare
606,Izegem,"50.92110934652179, 3.213469517279286",Gare
604,Ingelmunster,"50.9148434156094, 3.254708319555108",Point darrêt
1005,Roulers,"50.94934122980087, 3.130236038528931",Gare
313,Dave-Saint-Martin,"50.429043269760534, 4.884234567377752",Point darrêt
979,Quaregnon,"50.449728266937804, 3.855599112287222",Gare
401,Flémalle-Grande,"50.605259633719655, 5.48108901393654",Point darrêt
971,Pont-de-Seraing,"50.61991669778005, 5.511349156664147",Point darrêt
515,Ham-sur-Sambre,"50.45281278086083, 4.672912870038423",Point darrêt
